idClass,idCourse,idLocation,classNumber,idInstructor
90592225,287657,1825,4RASC-2,
90592255,308196,1825,1,
90592259,308482,1825,KMathASC-1,
90592263,308481,1825,KPHONASC-1,
90592168,227789,1825,K-HR-5,4729358
90592171,227743,1825,KMATH - 5,4729358
90592172,227744,1825,KPEN - 5,4729358
90592173,227745,1825,KPHON - 5,4729358
90592174,227746,1825,KREAD - 5,4729358
90591875,227749,1825,1LIB - 1,4729418
90591876,227749,1825,1LIB - 2,4729418
90591877,227749,1825,1LIB - 3,4729418
90591893,227752,1825,2LIB - 1,4729418
90591894,227752,1825,2LIB - 2,4729418
90591895,227752,1825,2LIB - 3,4729418
90591923,227757,1825,3LIB - 1,4729418
90591924,227757,1825,3LIB - 2,4729418
90591925,227757,1825,3LIB - 3,4729418
90591953,227762,1825,4LIB - 1,4729418
90591954,227762,1825,4LIB - 2,4729418
90591955,227762,1825,4LIB - 3,4729418
90591965,227764,1825,KLIB - 1,4729418
90591966,227764,1825,KLIB - 2,4729418
90591967,227764,1825,KLIB - 3,4729418
90591968,227764,1825,KLIB - 4,4729418
90592193,227764,1825,KLIB - 5,4729418
90592198,227752,1825,2LIB - 4,4729418
90592200,227749,1825,1LIB - 4,4729418
90592244,227757,1825,3LIB - 4,4729418
90591881,227750,1825,1PE - 1,4729428
90591882,227750,1825,1PE - 2,4729428
90591883,227750,1825,1PE - 3,4729428
90591899,227753,1825,2PE - 1,4729428
90591900,227753,1825,2PE - 2,4729428
90591901,227753,1825,2PE - 3,4729428
90591911,227755,1825,3PE - 1,4729428
90591912,227755,1825,3PE - 2,4729428
90591913,227755,1825,3PE - 3,4729428
90591935,227759,1825,4PE - 1,4729428
90591936,227759,1825,4PE - 2,4729428
90591937,227759,1825,4PE - 3,4729428
90591959,227763,1825,JrKPE - 1,4729428
90591960,227763,1825,JrKPE - 2,4729428
90591961,227763,1825,JrKPE - 3,4729428
90592133,227791,1825,KPE - 1,4729428
90592134,227791,1825,KPE - 2,4729428
90592135,227791,1825,KPE - 3,4729428
90592136,227791,1825,KPE - 4,4729428
90592154,227763,1825,JrKPE - 4,4729428
90592195,227791,1825,KPE - 5,4729428
90592202,227750,1825,1PE - 4,4729428
90592206,227753,1825,2PE - 4,4729428
90592247,227755,1825,3PE - 4,4729428
90591710,227721,1825,JrK-HR-2,4729429
90591838,227743,1825,KMATH - 4,4729430
90591845,227744,1825,KPEN - 4,4729430
90591852,227745,1825,KPHON - 4,4729430
90591859,227746,1825,KREAD - 4,4729430
90592123,227789,1825,K-HR-4,4729430
90591869,227748,1825,1MUSIC - 1,4729433
90591870,227748,1825,1MUSIC - 2,4729433
90591871,227748,1825,1MUSIC - 3,4729433
90591905,227754,1825,2MUSIC - 1,4729433
90591906,227754,1825,2MUSIC - 2,4729433
90591907,227754,1825,2MUSIC - 3,4729433
90591929,227758,1825,3MUSIC - 1,4729433
90591930,227758,1825,3MUSIC - 2,4729433
90591931,227758,1825,3MUSIC - 3,4729433
90591947,227761,1825,4MUSIC - 1,4729433
90591948,227761,1825,4MUSIC - 2,4729433
90591949,227761,1825,4MUSIC - 3,4729433
90591979,227766,1825,KMUSIC - 1,4729433
