idCourse,courseTitle,idLocation
227721,JrK-Homeroom,1825
227722,1-Bible,1825
227723,1-Math,1825
227724,1-Oral Read.,1825
227725,1-Penmanship,1825
227726,1-Phonics,1825
227728,2-Bible,1825
227729,2-Math,1825
227730,2-Oral Reading,1825
227731,2-Penmanship,1825
227732,2-Phonics,1825
227733,2-Reading Comp.,1825
227734,2-Spelling,1825
227735,3-Language,1825
227736,3-Math,1825
227737,3-Reading,1825
227738,3-Spelling,1825
227739,4-Language,1825
227740,4-Math,1825
227741,4-Reading,1825
227742,4-Spelling,1825
227743,K-Math,1825
227744,K-Penmanship,1825
227745,K-Phonics,1825
227746,K-Reading,1825
227747,1-Computer,1825
227748,1-Music,1825
227749,1-Library,1825
227750,1-PE,1825
227751,2-Computer,1825
227752,2-Library,1825
227753,2-PE,1825
227754,2-Music,1825
227755,3-PE,1825
227756,3-Computer,1825
227757,3-Library,1825
227758,3-Music,1825
227759,4-PE,1825
227760,4-Computer,1825
227761,4-Music,1825
227762,4-Library,1825
227763,JrK-PE,1825
227764,K-Library,1825
227765,K-Computer,1825
227766,K-Music,1825
227767,JrK-Music,1825
227768,1-Art,1825
227769,2-Art,1825
227770,3-Art,1825
227771,4-Art,1825
227772,JrK-Art,1825
227773,K-Art,1825
227774,1-SCI/HIST,1825
227775,1-SPANISH,1825
227776,1-Language,1825
227777,2-Spanish,1825
227778,3-Spanish,1825
227779,4-Spanish,1825
227780,JrK-Spanish,1825
227781,K-Spanish,1825
227782,3-History/Science,1825
227783,4-Science/History,1825
227784,2-History/Science,1825
227785,01-Homeroom,1825
227786,02-Homeroom,1825
227787,03-Homeroom,1825
227788,04-Homeroom,1825
227789,K-Homeroom,1825
227790,3-Bible,1825
227791,K-PE,1825
227792,3-Language ASC,1825
227793,4-Language ASC,1825
227795,2-Reading ASC,1825
227799,Art 2,1827
227802,Anatomy/Physiology,1827
227803,Ancient W Hist and Geog,1827
227804,Art 1,1827
227805,Art 3,1827
227806,Concert Band,1827
227807,Bible 9,1827
227808,Bible 10,1827
227810,Economics,1827
227811,English 9,1827
227812,English 11,1827
227813,English 12 DC,1827
227814,Geometry,1827
227815,Algebra 2,1827
227816,English 10,1827
227817,Concert Choir,1827
227818,Modern W Hist and Geog,1827
227819,Spanish 1,1827
227820,Spanish 2,1827
227821,Speech,1827
227822,Algebra 1,1827
227823,Drum Line Marching,1827
227826,Biology 1,1827
227828,Philharmonic Orchestra,1827
227829,Theater,1827
227830,Drum Line Competitive,1827
227831,Physics,1827
227832,Technical Theater,1827
227833,Government,1827
